Date,Open,High,Low,Close,Volume,sma20,sma50,ema20,ema50,ema200,rsi,macd,roc,stoch_k,atr,bb_upper,bb_lower,obv,vwap,volume_change
2019-10-29,611.4906876174045,611.6384504195661,599.9178183864385,601.54296875,2288088,589.677114868164,553.6864782714844,587.1071927521272,556.2260249771175,471.03184451198877,60.84723477709355,16.049790426852496,4.616312840954794,70.97697433612885,15.280481903995682,616.5611308924574,562.7930988438707,106217173,595.7270129497857,157.09864994690804
2019-10-30,572.4384820146473,633.9470667337664,572.3399534352908,622.9158935546875,27156751,592.1468170166015,555.9143798828125,590.5175452095139,558.8413139409438,472.54312858206544,67.591894637324,16.97564222221081,7.076947417710041,83.68536201816742,18.589527003601393,621.5936737536981,562.6999602795049,133373924,602.6063822969753,1086.8752862652136
2019-10-31,627.2988428081642,636.6556315948503,612.6234342440749,616.7601318359375,4487728,593.3804351806641,558.0654565429687,593.0168391739351,561.1126401329044,473.9781236393179,64.16351965340698,17.016512155856503,7.539081763986097,69.57832632899694,18.978289171256677,624.7203852848243,562.040485076504,128886196,604.6745923650032,-83.47472420393736
2019-11-01,616.5630525427313,626.4123025833501,598.9328709240032,603.4635620117188,4002384,594.0945007324219,559.4945825195313,594.0117651584858,562.7734605987403,475.2665359614314,57.391980268764016,15.793917363979062,3.3656643750991875,49.24689896915495,19.585513634691694,625.6692034752559,562.5197979895879,124883812,606.4279459928988,-10.814915698990667
2019-11-04,603.2666539925872,606.4184264936013,579.529981938658,584.3560791015625,12053809,594.1141967773438,560.8488549804688,593.0921760102074,563.6198377949294,476.35200405237794,49.33451188354799,13.131812638319275,-2.8332656230796327,19.300981259232515,20.1071515575668,625.6640747439455,562.564318810742,112830003,604.4693305937285,201.16573022478602
2019-11-05,587.0153011935554,592.9248512055711,571.4042639578346,574.8515014648438,6170402,594.0747985839844,561.9470458984375,591.354968910649,564.0602951937495,477.3320985539945,45.88371054689861,10.138267840775598,-5.120713019574311,5.2830118844185225,20.208111249721785,625.7186879875022,562.4309091804665,106659601,602.9596430869311,-48.80952568603003
2019-11-06,575.1962671256068,581.9922744647238,571.3550351313132,576.1319580078125,3840924,594.5426391601562,563.0156896972657,589.9051583484741,564.5336937354775,478.3151817326395,46.42737229254958,7.779506850791222,-3.862274796543609,7.315282149324065,19.524477541413837,624.8047465223287,564.2805317979837,110500525,601.9231302063073,-37.75245113689514
2019-11-07,579.0374660802479,579.8746283341563,567.4645966400333,571.404296875,3217588,594.5254028320312,564.0341015625,588.1431715414765,564.8031291527137,479.2414415848023,44.64404727120742,5.465684026382178,-5.0956981743527034,5.693946097987138,19.016302838035926,624.839768186335,564.2110374777274,107282937,600.5791012549903,-16.228803277544678
2019-11-08,571.2565589414297,576.3781814928816,557.9600700695171,559.3389892578125,3630548,593.7423919677734,565.0328161621094,585.3999160858895,564.5888491568353,480.0384321089119,40.38108822677733,2.628098197039435,-6.572329038110561,1.7522197714435508,18.97357487984511,626.7252753244393,560.7595086111075,103652389,598.9413706518274,12.834458606881928
2019-11-11,561.358052619193,575.1962377544878,556.482661526174,562.3922119140625,3419720,592.7747009277343,565.9113684082031,583.208706164763,564.5027065198638,480.85787270398805,41.89318447771524,0.6185305005083137,-7.207275796054546,7.371000953097295,18.955003547592874,628.1570287417503,557.3923731137183,107072109,597.3262833167366,-5.807057226622536
2019-11-13,563.3771863721342,584.0606145431392,563.3771863721342,580.2686767578125,6532837,593.1120422363281,566.5801330566406,582.9287033641011,565.1209798625284,481.84703493337935,49.904470057566456,0.4630768739468749,-3.497121191727758,29.668372284653273,19.14881776769886,627.8769613899168,558.3471230827394,113604946,595.2884041703023,91.03426596329524
