Date,Open,High,Low,Close,Volume,sma20,sma50,ema20,ema50,ema200,rsi,macd,roc,stoch_k,atr,bb_upper,bb_lower,obv,vwap,volume_change
2019-10-29,1231.272632380808,1280.5235376760404,1220.7947672820123,1270.1905517578125,4248732,1254.7054931640625,1304.1534130859375,1267.7310138114246,1302.4123390626403,1406.3062704967538,49.16772374957533,-17.52534393395058,7.065527751488313,72.76200685282276,55.20398935217408,1368.386483065446,1141.024503262679,-52687001,1234.105976339543,1301.7684049383367
2019-10-30,1269.9007599940603,1278.5437636405043,1238.4188331709654,1252.711181640625,3333740,1245.8403259277343,1302.6807153320312,1266.300553604682,1300.4632740656984,1404.7779611549017,47.03083252114935,-16.636392814767987,6.049700556785704,62.136743095225185,54.126913717700134,1326.2340242853413,1165.4466275701272,-56020741,1234.2331383336154,-21.535648753557535
2019-10-31,1259.2298345855143,1297.9063315750325,1245.75830932425,1268.16259765625,7559742,1242.4434631347656,1300.9878369140624,1266.4778911334026,1299.196580873171,1403.418604304169,49.135317555216,-14.517741027098964,5.005601625947233,71.52926522237833,53.98556432720602,1312.3526351168696,1172.5342911526616,-48460999,1242.272977039421,126.76459471944423
2019-11-01,1282.4550010965406,1338.3209578009821,1271.0596459513506,1332.5267333984375,7803620,1246.3931945800782,1299.8434765625,1272.7682570634058,1300.5036456780833,1402.7132125538635,56.82961477247659,-7.5579233447667775,8.457460284972523,96.20132860660243,55.14076402845789,1326.5386768988706,1166.2477122612859,-40657379,1263.0734726381002,3.226009564876686
2019-11-04,1327.7947332327633,1346.0948956669713,1303.700464396145,1305.921630859375,3641707,1251.067205810547,1298.1013452148438,1275.9257212344505,1300.7161156851928,1401.7501122384956,53.244268052209414,-4.141288914776396,6.10434915251783,73.65423632003797,54.23031168862706,1333.6147373980587,1168.5196742230353,-44299086,1270.5654117293332,-53.33310694267532
2019-11-05,1307.5634447075847,1313.6474281252576,1269.9009821199954,1274.8260498046875,2656825,1253.713232421875,1296.4644775390625,1275.8209906220923,1299.7008189839967,1400.4871862441294,49.327198176107785,-3.897803574676118,-1.492407651151327,44.84317917194641,53.48146413981529,1335.7431346853448,1171.6833301584054,-46955911,1275.1375200513712,-27.044515113379518
2019-11-06,1275.936488466128,1307.1769912105638,1265.072317798015,1296.9405517578125,3214840,1258.6359008789063,1295.9970776367188,1277.8323773969228,1299.5925732104208,1399.4568714731213,52.03004208164059,-1.8984994791951522,0.026069106386055505,61.958169700727645,52.668836230724814,1338.6090908765002,1178.6627108813125,-43741071,1278.8689676515878,21.00307698098294
2019-11-07,1303.7004865057054,1349.9094023950927,1303.7004865057054,1334.5064697265625,5563949,1262.1727905273438,1296.8903564453126,1283.2299099997456,1300.9617456228186,1398.8105988189268,56.294677436619025,2.6862535900329476,3.0499641096966035,88.42109443665842,52.69026583119306,1348.7272377305876,1175.6183433241,-38177122,1283.9260411430873,73.07079045924525
2019-11-08,1320.165782816735,1404.0853713516813,1309.0601861230316,1374.0037841796875,8506906,1271.5546081542968,1299.0593286132812,1291.8750408740257,1303.8261392917154,1398.563764842417,60.291829652592206,9.398466935802162,6.768727622212387,83.9309286047444,55.7141886452971,1363.7041717114982,1179.4050445970954,-29670216,1293.3703264274861,52.893313723759874
2019-11-11,1367.4369720853026,1405.0028842313548,1359.131940605612,1395.49072265625,3521409,1282.2666870117187,1300.9241015625,1301.7432010437612,1307.4208288354228,1398.5331873082264,62.311219190690835,16.26427627964017,12.630549637310803,94.94354800627471,55.01109971532893,1379.598923751667,1184.9344502717704,-26148807,1298.453407111388,-58.60529080725707
2019-11-13,1395.4423400315197,1412.29382840295,1360.2424748707476,1365.6986083984375,4578522,1290.1661437988282,1301.4668237304688,1307.8341922203972,1309.706231955541,1398.2064750802683,57.91346224904828,19.081544841515324,11.174871174793664,76.15517924571303,54.79968927367704,1387.6565540833385,1192.675733514318,-30727329,1304.715646800915,30.019602948706048
2019-11-14,1351.6958705261195,1351.6958705261195,1306.7906335666974,1327.9395751953125,5279888,1295.132275390625,1301.6454760742188,1309.7489905989605,1310.4212650237673,1397.5073019470847,52.82476330396293,18.05923642402854,7.711582562505452,56.832223403965976,55.093138242110115,1389.6491302602183,1200.6154205210316,-36007217,1311.829728026196,15.3186115519375
2019-11-15,1329.8710659874591,1340.5903577067293,1299.547934275984,1312.391845703125,4476838,1299.2123718261719,1301.8086767578125,1310.0006910850714,1310.4985426974677,1396.6603819844581,50.84371397752323,15.812204554266827,3.3224380300192182,47.83160705068219,54.08951575558405,1389.2036927597271,1209.2210508926166,-40484055,1317.4801739850736,-15.209602930971267
2019-11-18,1314.7096401219778,1332.5751667167233,1312.8747786787292,1327.2637939453125,2034198,1300.8685668945313,1301.3963232421875,1311.64479611938,1311.1560035307166,1395.9698686706358,52.67207018475244,15.057879677855908,5.951300938102027,55.59767553954824,51.667644702585065,1391.6413401384132,1210.0957936506495,-38449857,1318.0670113731462,-54.56172414547946
2019-11-19,1334.6029348762004,1360.67694301054,1327.4084871926484,1344.9842529296875,4880427,1303.2876525878905,1302.3388500976562,1314.8199824822666,1312.4826015463625,1395.4625491110246,54.828039010853125,15.708882503605537,6.057713373302064,61.28852490638006,50.36375215705953,1396.0340132291344,1210.5412919466467,-33569430,1323.8392090900652,139.91897543896906
2019-11-20,1353.9171256176835,1428.0349140564547,1353.9171256176835,1418.9090576171875,7334715,1309.482647705078,1305.268798828125,1324.7332277332116,1316.656188058944,1395.6958477031258,62.50219639209198,21.93704426519139,6.482595962517242,94.99340222368383,52.69853136918151,1414.8787136222668,1204.0865817878894,-26234715,1334.8875086193568,50.28838665141391
2019-11-21,1429.3384599337687,1450.5357333618704,1388.296040131595,1396.5528564453125,6229283,1314.9654296875,1307.935107421875,1331.5731923724595,1319.7893907407624,1395.7043751532967,59.22530841773093,24.78326271123956,6.940020246566917,70.89297813671963,53.38004293068821,1426.3310932912566,1203.5997660837436,-32463998,1348.7280539579563,-15.071233169932297
2019-11-22,1400.2224608973513,1410.7004435538784,1387.7166413111456,1396.5528564453125,2062280,1322.8431518554687,1310.1571899414062,1337.7617318079695,1322.799722729176,1395.7128177532172,59.22530841773093,26.730775593912767,9.548503237698542,70.89297813671963,51.20888288154854,1433.8890032971417,1211.7973004137957,-30401718,1354.5660416348865,-66.89378215759342
2019-11-25,1396.5530093839507,1447.7353267423027,1396.5530093839507,1445.51416015625,3029183,1333.6976684570313,1313.2831762695312,1348.023867841139,1327.6120536086692,1396.208353498521,64.01699180728565,31.857725577576048,11.455699198939211,97.29241845872754,51.206996268365806,1448.0940517764088,1219.3012851376538,-27372535,1360.2372830667368,46.885146536842726
2019-11-26,1443.7275287433747,1469.3186856073878,1429.724820270613,1463.9107666015625,6748616,1345.24990234375,1316.0595751953124,1359.0607153421317,1332.9571011770179,1396.8820093502927,65.6503777822582,36.97905128602565,9.69679052223064,97.35225695133407,50.377486916109305,1463.1922814219379,1227.307523265562,-20623919,1372.5676431761956,122.78667218190513
2019-11-27,1466.9045397904758,1484.6735189512683,1456.2817946043697,1474.00244140625,4156766,1355.440496826172,1318.6882202148438,1370.0075463958572,1338.4882909899288,1397.6493768334367,66.54745681784277,41.375106155571984,7.277902606815894,94.2357629477656,48.807075304022824,1480.674972750072,1230.206020902272,-16467153,1382.482164959099,-38.40565235894293
2019-11-28,1473.664337114419,1521.7564445486028,1467.8701129842182,1514.46533203125,5080043,1368.5282043457032,1321.964853515625,1383.765430742085,1345.389351422922,1398.8117246463503,69.93754873294557,47.575606446178654,8.525646745149084,96.71879690457958,49.16987932262009,1502.4895376108243,1234.5668710805821,-11387110,1395.724781179193,22.211425901770742
2019-11-29,1502.6355549570421,1527.3575559348453,1498.8210709781195,1515.2862548828125,5852032,1380.8843872070313,1325.6953686523439,1396.2912235173924,1352.0519750880155,1399.9706751959668,70.00396528169394,51.95686283927262,10.953196083270326,94.70114520882296,47.69606543934193,1520.9838942326476,1240.784880181415,-5535078,1410.6600895404601,15.196505226432144
2019-12-02,1537.4008497828759,1541.7948503701327,1507.6571178471263,1521.9495849609375,3906554,1390.3555297851562,1330.396416015625,1408.2586865120156,1358.714626455581,1401.1843956911407,70.57227138791995,55.328917821982486,14.609852239480862,91.80783568717034,46.72761308817511,1541.2901088880753,1239.4209506822372,-1628524,1418.6863597342387,-33.24448670137142
2019-12-03,1525.0399375092552,1525.81254797821,1480.327906358912,1491.72314453125,3594869,1399.64560546875,1334.5354248046874,1416.2076825138474,1363.930646772274,1402.0852787641768,64.5938060923871,54.92908624627307,13.664463050061604,79.3303020545275,46.63882941182674,1551.5182071796853,1247.7730037578149,-5223393,1425.9478924543318,-7.978515080042414
2019-12-04,1485.6389929912793,1500.7039511636558,1470.767128457045,1491.336669921875,3417501,1410.4711364746095,1339.5966772460938,1423.3628241717547,1368.9269614055918,1402.9733523080345,64.51854702374112,53.959025513031975,12.361738241111308,79.17076458110728,45.445828932882755,1555.9427303652644,1264.9995425839545,-8640894,1437.4694049007553,-4.933921096985728
2019-12-05,1491.3369264080936,1495.7791418034049,1455.2195685801373,1457.9718017578125,3222397,1418.5226989746093,1341.337841796875,1426.6589172751887,1372.4189159292084,1403.520600561266,58.21276018530274,49.92250382560405,8.400659604899605,63.38326823288866,45.09681066791024,1555.5486012761953,1281.4967966730233,-11863291,1447.879983765568,-5.7089668737478005
