Date,Open,High,Low,Close,Volume,sma20,sma50,ema20,ema50,ema200,rsi,macd,roc,stoch_k,atr,bb_upper,bb_lower,obv,vwap,volume_change
2019-10-29,2017.0712348272837,2095.2382943838156,2017.0712348272837,2085.72216796875,1910470,1825.1949890136718,1667.7721142578125,1858.5509089170741,1751.1754975147855,1825.782720845571,77.14151235172791,104.62264125010825,22.140423089267934,97.66961228426412,69.79624804022474,2089.8130485515812,1560.5769294757624,23236700,1893.4295614639846,667.626968820315
2019-10-30,2104.6970949091774,2137.710004156595,2043.2115617994712,2129.43310546875,2022690,1847.514697265625,1678.8707202148437,1884.3492133505672,1766.0091291992546,1828.8041177074933,78.99523052242043,113.05268326710143,23.681729368802113,98.15682551962415,71.56069049143181,2134.743765778587,1560.2856287526631,25259390,1919.135337596482,5.8739472485828115
2019-10-31,2132.602344272492,2145.39135529354,2109.5217104564344,2131.94970703125,1376540,1870.0888793945312,1690.1527514648437,1907.9302127487274,1780.3597400946269,1831.8204917306152,79.10031654292483,118.56982191483598,22.971210049867434,97.027329751536,69.01133008755137,2171.8533054205905,1568.324453368472,26635930,1937.8440645091537,-31.945083032990716
2019-11-01,2136.5751498224454,2165.0477765767014,2071.5943293748933,2078.79296875,1870250,1889.7136474609374,1700.3228369140625,1924.20285617742,1792.0630039634652,1834.2779293128979,71.01819791890019,117.30071983105427,14.464476834407247,81.03472735248087,70.75719559571256,2192.1650911345787,1587.2622037872961,24765680,1958.1205466849917,35.86601188487075
2019-11-04,2103.751282848012,2107.535008176875,2039.4279522573354,2056.52099609375,1570140,1906.0595764160157,1710.5445703125,1936.804583788499,1802.4339056156332,1836.4893031117126,67.88832202660993,113.19296716228178,13.111437696565886,75.07493617137945,70.56789990455736,2207.4661710581872,1604.652981773844,23195540,1971.2738889334535,-16.046517845207863
2019-11-05,2057.400883875238,2076.064092728225,2008.2597917105063,2013.6185302734375,1494120,1921.6114074707032,1720.7443627929688,1944.1201977394455,1810.7156556022137,1838.2517829839687,62.201536679877876,105.26227515222376,3.88105782384704,59.8321704339655,70.3704999840689,2211.2864857832315,1631.9363291581749,21701420,1991.0238771422971,-4.841606480950745
2019-11-06,2021.4554662323285,2057.40086057806,1989.6863961011593,2043.73681640625,1444450,1938.6615844726562,1731.348349609375,1953.6074947553316,1819.853740339627,1840.2964101822006,64.45271979678188,100.25179825291866,6.557798259730581,62.64345655724568,70.18078316212832,2214.6148643927163,1662.708304552596,23145870,2000.695352982936,-3.3243648435199336
2019-11-07,2049.83333939204,2052.6711335859377,2002.6455423669013,2026.5587158203125,1055860,1953.7236572265624,1742.5114770507812,1960.5552300948536,1827.959817809458,1842.1497664572069,62.17812586371116,93.81340749301307,7.233148240144155,52.909289305927075,68.74112659476461,2213.886624618716,1693.5606898344092,22090010,2016.6424301025115,-26.902281145072514
2019-11-08,2010.104421605341,2086.318186620976,2005.3747641427403,2051.6923828125,1874110,1970.9261352539063,1754.4419506835939,1969.2349589251055,1836.7336438880088,1844.2347676149711,64.17049078096228,89.70495047544955,5.693873037411655,61.4555400678716,69.61271915786969,2208.2223370202596,1733.629933487553,23964120,2031.6527219028771,77.49606955467581
2019-11-11,2046.9956662750867,2063.800036940181,2015.784547101773,2022.108154296875,944160,1985.9463500976562,1765.469052734375,1974.2705013414645,1844.0032325314937,1846.0046520595672,60.153716907466034,83.10379981969663,1.638183110355632,51.39595602182724,68.0700599207653,2194.533576499548,1777.3591236957645,23019960,2041.4596703821758,-49.62088671422702
2019-11-13,2021.4556363861718,2064.400834553769,2005.3748007200206,2019.7718505859375,1589070,2000.2500305175781,1775.6033862304687,1978.6039631742715,1850.896119514021,1847.7336789105761,59.83518539955548,76.7985344820413,0.1428184593812003,35.11213573746811,67.42405805740695,2174.0121127784064,1826.4879482567496,21430890,2050.8253862453666,68.30516014234875
2019-11-14,2033.7523943349984,2055.035849624551,2020.0363898150645,2039.2529296875,980830,2011.40751953125,1785.5559057617188,1984.3800552231505,1858.2826610894515,1849.6393430974113,61.658362995861495,72.53736100358083,1.0997137772715733,31.378458081795557,65.12691098463598,2163.7805271538587,1859.0345119086417,22411720,2058.3956261727776,-38.27647617789022
