Date,Open,High,Low,Close,Volume,sma20,sma50,ema20,ema50,ema200,rsi,macd,roc,stoch_k,atr,bb_upper,bb_lower,obv,vwap,volume_change
2019-10-29,2924.097280917925,3008.0768545220453,2911.5896848492266,2995.12255859375,458464,2788.8095947265624,2547.086884765625,2807.5519287627194,2645.546952825129,2588.946120615078,73.82061750198262,115.38525663455493,10.36129495631435,96.70529618945079,79.09590142530399,3058.0751998533824,2519.5439895997424,-4135901,2835.3642004440635,1058.2931204365732
2019-10-30,3013.4372614043227,3036.6656541693724,2926.777488396253,2939.37451171875,496662,2801.09384765625,2560.9917626953124,2820.1064604728176,2657.069602193507,2592.4329702778014,66.4638086912446,111.77798305936722,6.753860775942215,72.6382306960205,81.2953488787194,3074.2691488865457,2527.9185464259544,-4632563,2871.9923571673357,8.331733789348771
2019-10-31,2946.9681834350417,2987.1264542253066,2908.0158713075652,2918.37939453125,488894,2815.4976806640625,2575.06638671875,2829.465787526002,2667.317045030281,2595.676218280323,63.88177388039972,106.00312423696278,5.047207031196792,62.7776182922267,81.13929416722097,3081.41519157107,2549.580169757055,-5121457,2889.502710790881,-1.5640415413299191
2019-11-01,2943.7514678277475,2943.7514678277475,2891.666231314175,2920.12109375,320106,2831.0874877929687,2588.8086572265624,2838.099626214002,2677.2309292937994,2598.9045254989273,64.00669564905084,100.40958835381707,2.749036449881563,60.47555806595584,79.0640043348175,3082.7719291194317,2579.4030464665057,-4801351,2904.3137421744123,-34.524457244310625
2019-11-04,2939.28486244526,2947.325459333408,2883.0006842282232,2894.48095703125,283144,2846.1368041992187,2602.41423828125,2843.469276768026,2685.75053822468,2601.8455845191493,60.67944749727849,92.83755260052521,1.9863160820401953,44.479321410328986,78.0112022469866,3074.0683802878593,2618.205228110578,-5084495,2913.084695516205,-11.546800122459434
2019-11-05,2908.016172999101,2930.3511666473273,2860.9340500116737,2887.24462890625,330794,2863.4062377929686,2617.39208984375,2847.638357924047,2693.652267271016,2604.6853760055883,59.73565608504646,85.26981120435084,-0.49569762663537137,31.455075159890818,77.39733898903424,3043.906857989779,2682.905617596158,-5415289,2921.583924304583,16.828892718899226
2019-11-06,2894.481050101836,2910.562244395215,2850.8383883429087,2883.76025390625,347320,2875.6681518554688,2632.4610693359373,2851.078538493781,2701.107482433182,2607.4622404623115,59.257719082568556,78.09097750416458,-0.7532977256044934,28.389248405270084,76.13494735069654,3023.814452513636,2727.5218511973017,-5762609,2923.4514823185655,4.995858449669588
2019-11-07,2902.6552272924346,2909.4451513274753,2863.256218678701,2880.1416015625,288996,2883.0520874023437,2646.452587890625,2853.84644926223,2708.128428281391,2610.175467935945,58.7321622787186,71.2879420534723,-0.7466218939201579,15.769060094204002,73.99594630055924,3015.836459087031,2750.2677157176563,-6051605,2926.9625202621746,-16.792583208568466
2019-11-08,2883.8941790319227,2899.483959889718,2807.9552059161506,2821.356201171875,376182,2888.4236572265627,2658.805625,2850.7521399202915,2712.5687331006256,2612.2767687641635,50.843278120013494,60.4560966742938,-4.14908626128125,5.859371689432922,75.24828970577411,3000.4805322411844,2776.366782211941,-6427787,2922.0120417067938,30.168583648216575
2019-11-11,2820.462902685676,2854.412091884933,2778.473116044489,2787.005126953125,464906,2890.103271484375,2669.2709130859375,2844.6809958281806,2715.4878073693512,2614.0153593929094,46.88060438512847,48.54039312986015,-5.0018291327081545,3.3045149060462964,75.29762442967912,2994.779049111242,2785.427493857508,-6892693,2912.8197910745816,23.585392177190823
2019-11-13,2922.310353115562,2947.3255441541546,2858.8789758391313,2921.193603515625,1853222,2897.2549560546877,2679.70314453125,2851.9679108460327,2723.554701335872,2617.071859334429,59.99682737942453,49.35605494328229,0.08110903154963167,55.276766907223525,81.37068105620415,2989.121656553545,2805.3882555558303,-5039471,2908.6692651972285,298.62294743453515
2019-11-14,2925.7945472748675,2925.7945472748675,2858.878997974588,2886.395751953125,515326,2899.475061035156,2689.1320849609374,2855.246752856232,2729.9406248894898,2619.7516990619783,56.12651819590226,46.6567470662676,-0.8683292867925806,41.79928540631785,80.33817164506668,2987.977023280221,2810.973098790091,-5554797,2905.0167853850926,-72.19296986545595
