Date,Open,High,Low,Close,Volume,sma20,sma50,ema20,ema50,ema200,rsi,macd,roc,stoch_k,atr,bb_upper,bb_lower,obv,vwap,volume_change
2019-10-29,346.9973108995022,349.5304894191485,337.53374112044,344.0339660644531,36912144,351.7458160400391,341.0581982421875,351.46309672656224,343.85456640554037,321.84866119536935,47.27605369152465,4.68677952893762,-4.59906712208738,48.111880596602845,16.549166575788895,382.2374008279197,321.25423125215843,269387044,352.35668313466033,1715.5230748875756
2019-10-30,348.2399746438744,354.9791772656807,344.75088434634256,351.72906494140625,17185921,352.64676361083986,341.3698260498047,351.48842703273783,344.163370269692,322.1459786455787,51.28812446909407,4.14895433979143,-3.9044188370203665,59.370592276889624,16.148884049034514,381.99693669134604,323.2965905303337,286572965,352.7095726693397,-53.4410111750756
2019-10-31,350.53418402093075,360.18894193881806,347.7142379205397,357.7513427734375,13034332,352.9908905029297,341.61931884765625,352.0848951985187,344.69623193650557,322.50026087570666,54.22395009433777,4.160709425040807,-4.904083517132124,68.18179676608639,15.886442618266218,382.41091913746186,323.5708618683975,299607297,351.7509235950361,-24.156918910543112
2019-11-01,347.33192608444324,359.8066016433915,347.33192608444324,356.6042785644531,13938891,354.0471786499023,341.8391809082031,352.51531266194104,345.16321415720944,322.8396043352962,53.5617913420896,4.031000060060251,-2.762923187994311,66.50352525661818,15.642744971172078,382.37295782969824,325.7213994701064,285668406,351.38307907439093,6.93981862668529
2019-11-04,361.5750070234062,364.8729089626638,357.5123518020534,361.3360290527344,7763797,355.62921752929685,342.16419189453126,353.3553808896356,345.79744219232805,323.2226533374598,55.951374367162245,4.260900168499006,-1.8818874362919524,73.94365215460923,15.116022501674836,381.78950373936334,329.46893131923036,293432203,350.7285802978334,-44.3011857973493
2019-11-05,360.3801186031212,368.50539935820586,358.03812853723787,367.0237121582031,6766429,357.7537384033203,342.65935546875,354.6571267247373,346.62984493608786,323.658484768512,58.70225201600578,4.846182379609445,-0.49242322698679514,82.32391453527433,14.783968810195775,380.08940129448,335.4180755121606,300198632,350.46553096769014,-12.846394618509471
2019-11-06,368.02745867899665,368.409805617491,353.9276983286354,355.0747985839844,8335534,359.1828338623047,342.97576293945315,354.69690499704654,346.96101958894656,323.9710849059794,51.43492453061546,4.296319982056218,-3.1421086867737693,64.71832205429322,14.762407272957189,376.4078095995053,341.95785812510405,291863098,350.1727363247358,23.189558332763127
2019-11-07,358.2771274659029,358.94627176957215,352.7806040771485,355.361572265625,4906572,359.7731109619141,343.33901123046877,354.76020664167305,347.2904530272477,324.2834280637868,51.58982480186876,3.8394317308612926,-0.6281736165715631,65.14085591411869,14.148354445776222,375.56510548087545,343.9811164429527,296769670,349.9419562525552,-41.13668062538045
2019-11-08,353.6887637720617,359.28086705849626,350.43865093618837,352.876220703125,6094415,359.38596801757814,343.5827703857422,354.58077940943036,347.5095027400272,324.56793346318324,50.098453934297744,3.2394549794309455,2.4420767898650895,61.478925772138766,13.769344565528485,375.4532595974921,343.3186764376642,290675255,349.77248659931615,24.20922387361277
2019-11-11,354.88361112920546,357.46457928011677,352.01587534373357,355.1225891113281,2826663,358.84109649658205,343.79020446777344,354.63238033342066,347.8080551467449,324.87195988754286,51.46417452963918,2.9116683380310064,-0.2282805131523014,76.66667373958803,13.175013092018107,374.7094130695158,342.9727799236483,293501918,349.2065473859001,-53.61879688206332
2019-11-13,355.6961548260858,356.93883439167234,350.0084431760425,352.3504333496094,6544841,357.64859161376955,344.1783056640625,354.4150520492482,347.9861876252886,325.1453775339316,49.65800522781358,2.400533406221143,-1.7459723386663315,71.83333801714848,12.72896867227609,371.5867029491631,343.710480278376,286957077,349.3668669429205,131.53948666678696
2019-11-14,342.12210536056244,350.91652989334375,334.85715759345493,346.5193176269531,21487581,356.63771057128906,344.49758178710937,353.66307734236295,347.92866331162844,325.3580535547577,46.000891946712194,1.5075548304178596,-2.8410663199271244,34.659047313774316,13.069276321124546,370.72444063275736,342.55098050982076,265469496,351.70376464776876,228.31326230843501
2019-11-15,342.07434085837104,380.93229051718174,341.50077588410744,375.7225646972656,56210391,357.01051940917966,345.4448944091797,355.7639808999727,349.0186202287123,325.859192969111,61.35201530043098,3.120351383982438,9.210892457890566,88.69297712382003,14.952293343406671,372.6208083892604,341.40023042909894,321679887,355.10983055737387,161.5947835170464
2019-11-18,378.54254023643347,402.01026251906325,374.8144716331615,391.1606140136719,43462375,358.12655181884764,346.63787841796875,359.1350888155631,350.6712474359656,326.508958352639,66.73568198329379,5.5799041690357285,11.210773576199747,83.84341495838423,15.82682888215632,379.19685415422714,337.05624948346815,365142262,361.1691925006772,-22.67910927714415
